Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,100,[  24.47       3801.13979627 9174.92688942],[6.07536007e-01 1.21052187e+02 9.91854641e+02],[  23.         3566.58657057 6757.01343685],[   26.          4161.99339787 11396.48225304],"[76, 17, 21, 31, 100, 47, 96, 54, 22, 75, 67, 1, 46, 81, 73, 35, 24, 30, 52, 57, 95, 90, 69, 74, 44, 41, 29, 7, 13, 92, 79, 99, 3, 16, 18, 71, 93, 49, 86, 59, 85, 10, 15, 37, 56, 12, 55, 51, 89, 60, 48, 20, 88, 9, 87, 8, 25, 23, 58, 65, 78, 91, 94, 61, 28, 5, 97, 34, 27, 80, 4, 14, 64, 68, 19, 42, 43, 82, 72, 6, 45, 77, 66, 70, 98, 38, 32, 26, 62, 39, 2, 40, 53, 33, 36, 63, 83, 11, 84, 50]","(23.0, 3680.4334125346304, 10829.02075027241)"
1,78,[  24.41       3737.30090587 8585.41164492],[6.64755594e-01 1.10172194e+02 8.81842158e+02],[  23.         3510.16594837 6586.32977568],[   26.          4014.5918922  10829.02075027],"[76, 17, 21, 31, 100, 47, 96, 54, 22, 75, 67, 1, 46, 81, 73, 35, 24, 30, 52, 57, 95, 90, 69, 74, 44, 41, 29, 7, 13, 92, 79, 99, 3, 16, 18, 71, 93, 49, 86, 59, 85, 10, 15, 37, 56, 12, 55, 51, 89, 60, 48, 20, 88, 9, 87, 8, 25, 23, 58, 65, 78, 91, 94, 61, 28, 5, 97, 34, 27, 80, 4, 14, 64, 68, 19, 42, 43, 82, 72, 6, 45, 77, 66, 70, 98, 38, 32, 26, 62, 39, 2, 40, 53, 33, 36, 63, 83, 11, 84, 50]","(23.0, 3680.4334125346304, 10829.02075027241)"
2,88,[  24.3        3675.45966822 8266.47381901],[6.70820393e-01 1.08502438e+02 9.95594829e+02],[  23.         3485.37634286 6535.76800613],[   25.          3974.51137881 10829.02075027],"[49, 66, 64, 60, 44, 95, 98, 54, 65, 59, 22, 11, 38, 42, 46, 56, 82, 50, 72, 83, 25, 18, 24, 37, 10, 20, 61, 48, 87, 21, 29, 90, 84, 88, 32, 62, 31, 6, 52, 33, 92, 67, 75, 28, 26, 12, 97, 17, 16, 71, 78, 3, 14, 58, 40, 55, 51, 86, 96, 1, 85, 27, 45, 8, 19, 89, 9, 7, 73, 4, 63, 80, 43, 99, 47, 36, 15, 69, 74, 53, 2, 5, 93, 34, 39, 13, 35, 79, 23, 91, 94, 68, 81, 76, 30, 100, 57, 41, 70, 77]","(23.0, 3485.376342863081, 8360.340544551551)"
3,82,[  24.23       3633.95837164 7986.78683357],[6.90724258e-01 1.08605044e+02 9.97834013e+02],[  23.         3411.60395547 6433.40444503],[   25.          4038.22584726 10829.02075027],"[96, 23, 43, 26, 6, 60, 11, 9, 78, 68, 94, 95, 57, 89, 99, 53, 86, 73, 31, 33, 56, 100, 80, 82, 93, 44, 41, 34, 66, 88, 62, 28, 52, 87, 92, 76, 83, 15, 27, 40, 14, 59, 69, 70, 30, 35, 29, 55, 72, 45, 3, 21, 1, 71, 32, 39, 65, 46, 8, 7, 64, 12, 85, 74, 98, 61, 48, 58, 18, 90, 79, 84, 97, 63, 75, 91, 16, 24, 13, 49, 81, 42, 10, 51, 50, 22, 37, 67, 25, 36, 38, 5, 20, 19, 54, 2, 17, 47, 4, 77]","(23.0, 3411.603955467622, 8236.24664667006)"
