Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,100,[43924.39       47700.65724116],[6767.50755137 6792.10572224],[30023.         33514.98916618],[60026.        63879.8303105],"[93, 58, 12, 33, 47, 21, 96, 16, 54, 34, 99, 9, 81, 72, 2, 4, 31, 3, 78, 35, 25, 66, 13, 67, 56, 41, 49, 69, 17, 30, 20, 26, 62, 29, 86, 42, 37, 89, 83, 97, 7, 36, 6, 50, 19, 60, 98, 32, 92, 87, 38, 5, 27, 71, 15, 8, 82, 80, 65, 76, 22, 75, 100, 79, 23, 85, 44, 84, 45, 39, 55, 70, 74, 51, 14, 43, 57, 18, 1, 24, 10, 90, 48, 94, 63, 53, 91, 40, 46, 73, 28, 95, 52, 88, 68, 11, 59, 61, 64, 77]","(30023.0, 33514.98916618124)"
1,88,[38023.8        41727.62414452],[4000.4        3997.41549872],[30023.         33473.89285565],[40024.         43868.65672514],"[98, 58, 12, 33, 47, 21, 96, 16, 54, 34, 99, 9, 81, 72, 2, 4, 31, 3, 78, 35, 25, 66, 13, 67, 56, 41, 49, 69, 17, 50, 20, 26, 53, 29, 86, 42, 37, 89, 83, 97, 7, 36, 6, 30, 19, 60, 93, 32, 92, 87, 38, 5, 27, 71, 15, 8, 82, 80, 65, 76, 22, 75, 100, 79, 23, 85, 44, 84, 45, 39, 55, 70, 74, 51, 14, 43, 57, 18, 1, 24, 10, 90, 48, 94, 63, 62, 91, 40, 46, 73, 28, 95, 52, 88, 68, 11, 59, 61, 64, 77]","(30023.0, 33473.892855649494)"
2,82,[35923.59      39557.6208829],[4918.82488425 4868.38770079],[30023.         33473.89285565],[40024.         43690.64514249],"[98, 58, 12, 33, 47, 21, 96, 16, 54, 34, 99, 9, 81, 72, 2, 4, 31, 3, 78, 35, 25, 66, 13, 67, 56, 41, 49, 69, 17, 50, 20, 26, 53, 29, 86, 42, 37, 89, 83, 97, 7, 36, 6, 30, 19, 60, 93, 32, 92, 87, 38, 5, 27, 71, 15, 8, 82, 80, 65, 76, 22, 75, 100, 79, 23, 85, 44, 84, 45, 39, 55, 70, 74, 51, 14, 43, 57, 18, 1, 24, 10, 90, 48, 94, 63, 62, 91, 40, 46, 73, 28, 95, 52, 88, 68, 11, 59, 61, 64, 77]","(30023.0, 33473.892855649494)"
3,88,[32223.22       35871.86461569],[4142.87728175 4049.50181567],[30023.         33473.89285565],[40024.         43523.73851014],"[98, 58, 12, 33, 47, 21, 96, 16, 54, 34, 99, 9, 81, 72, 2, 4, 31, 3, 78, 35, 25, 66, 13, 67, 56, 41, 49, 69, 17, 50, 20, 26, 53, 29, 86, 42, 37, 89, 83, 97, 7, 36, 6, 30, 19, 60, 93, 32, 92, 87, 38, 5, 27, 71, 15, 8, 82, 80, 65, 76, 22, 75, 100, 79, 23, 85, 44, 84, 45, 39, 55, 70, 74, 51, 14, 43, 57, 18, 1, 24, 10, 90, 48, 94, 63, 62, 91, 40, 46, 73, 28, 95, 52, 88, 68, 11, 59, 61, 64, 77]","(30023.0, 33473.892855649494)"
4,94,[30023.         33674.55396828],[  0.         112.26855581],[30023.         33459.02899766],[30023.         33852.99175513],"[98, 58, 12, 33, 47, 21, 96, 16, 54, 34, 99, 9, 81, 72, 2, 4, 31, 3, 78, 15, 25, 66, 13, 67, 56, 41, 49, 69, 17, 50, 20, 26, 53, 29, 86, 42, 37, 89, 83, 97, 7, 36, 6, 30, 19, 60, 93, 32, 92, 87, 38, 5, 27, 71, 35, 8, 82, 80, 65, 76, 22, 75, 100, 79, 23, 85, 44, 84, 45, 39, 55, 70, 74, 51, 14, 43, 57, 18, 1, 24, 10, 90, 48, 94, 63, 62, 91, 40, 46, 73, 28, 95, 52, 88, 68, 11, 59, 61, 64, 77]","(30023.0, 33459.02899766086)"
5,86,[30023.         33596.43136033],[ 0.         75.93787058],[30023.         33459.02899766],[30023.         33709.96996473],"[98, 58, 12, 33, 47, 21, 96, 16, 54, 34, 99, 9, 81, 72, 2, 4, 31, 3, 78, 15, 25, 66, 13, 67, 56, 41, 49, 69, 17, 50, 20, 26, 53, 29, 86, 42, 37, 89, 83, 97, 7, 36, 6, 30, 19, 60, 93, 32, 92, 87, 38, 5, 27, 71, 35, 8, 82, 80, 65, 76, 22, 75, 100, 79, 23, 85, 44, 84, 45, 39, 55, 70, 74, 51, 14, 43, 57, 18, 1, 24, 10, 90, 48, 94, 63, 62, 91, 40, 46, 73, 28, 95, 52, 88, 68, 11, 59, 61, 64, 77]","(30023.0, 33459.02899766086)"
